epoch,loss,val_triplet_acc,val_map10,q_grad_norm,cobyla
1,0.09217679392960336,0.8091672753834916,0.0,0.0015267630766533664,0
2,0.05707564372306978,0.8155588020452885,0.0,0.0015906020376387857,0
3,0.04745302955636023,0.8308984660336012,0.0,0.0015538673683128674,0
4,0.043105046086469506,0.8265157048940833,0.0,0.0015794575547235427,0
5,0.039384789467557496,0.831081081081081,0.8509732894464838,0.0015399885675046413,0
6,0.03678980137750577,0.8281592403214025,0.0,0.0015347068749312807,0
7,0.03594209773521375,0.8326333089846604,0.0,0.0014453523913296362,0
8,0.034206512147423714,0.8144631117604091,0.0,0.0013372183314964382,0
9,0.03351283493846748,0.8036888239590942,0.0,0.0012637274914311103,0
10,0.03244788273673429,0.8183893352812271,0.8562808791940267,0.0012019918419177323,0
11,0.031921500651710934,0.8084368151935719,0.0,0.0012808480126115002,0
12,0.03181947195619718,0.8112673484295105,0.0,0.0011762780398247015,0
13,0.030624847753331973,0.7878926223520818,0.0,0.0011161478692824195,0
14,0.0303734666019305,0.8235025566106647,0.0,0.0010739871430061744,0
15,0.029987351949354386,0.8159240321402483,0.8533204366775996,0.001061431903850086,0
16,0.02974164939903784,0.8189371804236669,0.0,0.0009797882218007144,0
17,0.029445182910722466,0.804236669101534,0.0,0.0009889608500891543,0
18,0.029857134694562925,0.8152848794740687,0.0,0.0009326979320449681,0
19,0.029053130545048555,0.8287983929875822,0.0,0.0008224281067976361,0
20,0.02908852606492936,0.7985756026296567,0.8623249001236253,0.0008285761158986247,0
21,0.02875764274646139,0.8277027027027027,0.0,0.0008228717133160885,0
22,0.028429786176515485,0.8159240321402483,0.0,0.0007952978185344129,0
23,0.02847763165505093,0.8089846603360117,0.0,0.0008435979610034272,0
24,0.028516976437815617,0.7976625273922571,0.0,0.0008438220224443442,0
25,0.027824134626520537,0.8099890430971513,0.8630336077453397,0.0007332714557775598,0
26,0.027297599650977736,0.7783053323593864,0.0,0.0006884741048504932,0
27,0.02725290184890114,0.7848794740686632,0.0,0.0006558112806907646,0
28,0.02717633992520996,0.8080715850986121,0.0,0.0006418343089822991,0
29,0.02723643177528523,0.7949233016800584,0.0,0.0006623558869242161,0
30,0.027389193314575067,0.7656135865595325,0.8633685286425191,0.0006593206961757099,0
31,0.026944815506502778,0.7872534696859022,0.0,0.0006545260638157627,0
32,0.026677180070237654,0.8107195032870709,0.0,0.0006177884457275456,0
33,0.026685065383176103,0.795653761869978,0.0,0.0006083542776202232,0
34,0.026597473105628492,0.8131848064280497,0.0,0.0006032807730673558,0
35,0.02682277544056166,0.7647918188458729,0.8630561983775465,0.0006073943019077781,0
36,0.02624126307328169,0.7909057706355004,0.0,0.0005882309556801432,0
37,0.02706256045322976,0.7815010956902849,0.0,0.0005635959196021213,0
38,0.02611719118037694,0.789627465303141,0.0,0.0005720040454273805,0
39,0.026805174997271693,0.7799488677867056,0.0,0.000601497510726748,0
40,0.02623546360605666,0.7800401753104456,0.8662011041912706,0.0005981820965978625,0
41,0.026366903395020347,0.7912710007304602,0.0,0.0006366794906795813,0
42,0.02623600694197864,0.7778487947406866,0.0,0.0005760935966546428,0
43,0.025681483357013764,0.7734660336011687,0.0,0.0005672850546515248,0
44,0.02556426180118523,0.7594959824689554,0.0,0.0005445621155862076,0
45,0.026182348710223916,0.779218407596786,0.8670372004743989,0.0005481504213805668,0
46,0.026661263415021515,0.7885317750182615,0.0,0.0005493829848010862,0
47,0.025524055847609545,0.756208911614317,0.0,0.0005376085001323171,0
48,0.026067852925987265,0.7652483564645727,0.0,0.000572315160910326,0
49,0.02578608383175353,0.7773922571219869,0.0,0.0005443468143424644,0
50,0.026565967344260644,0.7408692476260044,0.8664972067667731,0.0005191573490701956,0
